#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                  98              1.4252             1.42507         6.19529e-06
                  99             1.42521             1.42507         6.29093e-06
                 100             1.42521             1.42507         6.38706e-06
                 101             1.42522             1.42507         6.48369e-06
                 102             1.42522             1.42507          6.5808e-06
                 103             1.42523             1.42508          6.6784e-06
                 104             1.42523             1.42508         6.77648e-06
                 105             1.42523             1.42508         6.87504e-06
                 106             1.42524             1.42508         6.97408e-06
                 107             1.42524             1.42508          7.0736e-06
                 108             1.42525             1.42508          7.1736e-06
                 109             1.42525             1.42508         7.27407e-06
                 110             1.42526             1.42509         7.37501e-06
                 111             1.42526             1.42509         7.47643e-06
                 112             1.42527             1.42509         7.57831e-06
                 113             1.42527             1.42509         7.68066e-06
                 114             1.42528             1.42509         7.78347e-06
                 115             1.42528             1.42509         7.88675e-06
                 116             1.42529              1.4251         7.99049e-06
                 117             1.42529              1.4251         8.09469e-06
                 118              1.4253              1.4251         8.19934e-06
                 119              1.4253              1.4251         8.30446e-06
                 120             1.42531              1.4251         8.41003e-06
                 121             1.42531              1.4251         8.51606e-06
                 122             1.42532             1.42511         8.62255e-06
                 123             1.42532             1.42511          8.7295e-06
                 124             1.42533             1.42511         8.83692e-06
                 125             1.42533             1.42511          8.9448e-06
                 126             1.42534             1.42511         9.05315e-06
                 127             1.42534             1.42511         9.16197e-06
                 128             1.42535             1.42512         9.27125e-06
                 129             1.42535             1.42512           9.381e-06
                 130             1.42536             1.42512         9.49121e-06
                 131             1.42537             1.42512         9.60189e-06
                 132             1.42537             1.42512         9.71302e-06
                 133             1.42538             1.42513         9.82461e-06
                 134             1.42538             1.42513         9.93665e-06
                 135             1.42539             1.42513         1.00492e-05
                 136             1.42539             1.42513         1.01621e-05
                 137              1.4254             1.42513         1.02755e-05
                 138             1.42541             1.42514         1.03894e-05
                 139             1.42541             1.42514         1.05037e-05
                 140             1.42542             1.42514         1.06185e-05
                 141             1.42542             1.42514         1.07337e-05
                 142             1.42543             1.42514         1.08494e-05
                 143             1.42544             1.42515         1.09655e-05
                 144             1.42544             1.42515         1.10821e-05
                 145             1.42545             1.42515         1.11992e-05
                 146             1.42546             1.42515         1.13166e-05
                 147             1.42546             1.42515         1.14346e-05
                 148             1.42547             1.42516          1.1553e-05
                 149             1.42548             1.42516         1.16718e-05
                 150             1.42548             1.42516          1.1791e-05
                 151             1.42549             1.42516         1.19107e-05
                 152             1.42549             1.42517         1.20309e-05
                 153              1.4255             1.42517         1.21514e-05
                 154             1.42551             1.42517         1.22724e-05
                 155             1.42551             1.42517         1.23939e-05
                 156             1.42552             1.42517         1.25157e-05
                 157             1.42553             1.42518          1.2638e-05
                 158             1.42554             1.42518         1.27608e-05
                 159             1.42554             1.42518         1.28839e-05
                 160             1.42555             1.42518         1.30076e-05
                 161             1.42556             1.42519         1.31316e-05
                 162             1.42556             1.42519         1.32561e-05
                 163             1.42557             1.42519          1.3381e-05
                 164             1.42558             1.42519         1.35064e-05
                 165             1.42558             1.42519         1.36322e-05
                 166             1.42559              1.4252         1.37584e-05
                 167              1.4256              1.4252         1.38851e-05
                 168             1.42561              1.4252         1.40122e-05
                 169             1.42561              1.4252         1.41398e-05
                 170             1.42562             1.42521         1.42677e-05
                 171             1.42563             1.42521         1.43962e-05
                 172             1.42564             1.42521          1.4525e-05
                 173             1.42564             1.42521         1.46543e-05
                 174             1.42565             1.42522          1.4784e-05
                 175             1.42566             1.42522         1.49141e-05
                 176             1.42567             1.42522         1.50446e-05
                 177             1.42567             1.42522         1.51756e-05
                 178             1.42568             1.42523          1.5307e-05
                 179             1.42569             1.42523         1.54388e-05
                 180              1.4257             1.42523          1.5571e-05
                 181             1.42571             1.42523         1.57037e-05
                 182             1.42571             1.42524         1.58367e-05
                 183             1.42572             1.42524         1.59702e-05
                 184             1.42573             1.42524         1.61042e-05
                 185             1.42574             1.42525         1.62385e-05
                 186             1.42575             1.42525         1.63733e-05
                 187             1.42576             1.42525         1.65085e-05
                 188             1.42576             1.42525         1.66441e-05
                 189             1.42577             1.42526         1.67802e-05
                 190             1.42578             1.42526         1.69166e-05
                 191             1.42579             1.42526         1.70535e-05
                 192              1.4258             1.42526         1.71908e-05
                 193             1.42581             1.42527         1.73286e-05
                 194             1.42581             1.42527         1.74668e-05
                 195             1.42582             1.42527         1.76054e-05
                 196             1.42583             1.42528         1.77444e-05
                 197             1.42584             1.42528         1.78839e-05
                 198             1.42585             1.42528         1.80238e-05
                 199             1.42586             1.42528         1.81641e-05
                 200             1.42587             1.42529         1.83049e-05
                 201             1.42588             1.42529          1.8446e-05
                 202             1.42588             1.42529         1.85876e-05
                 203             1.42589              1.4253         1.87296e-05
                 204              1.4259              1.4253         1.88721e-05
                 205             1.42591              1.4253         1.90149e-05
                 206             1.42592             1.42531         1.91582e-05
                 207             1.42593             1.42531         1.93019e-05
                 208             1.42594             1.42531          1.9446e-05
                 209             1.42595             1.42531         1.95906e-05
                 210             1.42596             1.42532         1.97355e-05
                 211             1.42597             1.42532         1.98809e-05
                 212             1.42598             1.42532         2.00267e-05
                 213             1.42599             1.42533         2.01729e-05
                 214               1.426             1.42533         2.03195e-05
                 215             1.42601             1.42533         2.04666e-05
                 216             1.42602             1.42534          2.0614e-05
                 217             1.42602             1.42534         2.07619e-05
                 218             1.42603             1.42534         2.09102e-05
                 219             1.42604             1.42535         2.10589e-05
                 220             1.42605             1.42535         2.12081e-05
                 221             1.42606             1.42535         2.13576e-05
                 222             1.42607             1.42536         2.15076e-05
                 223             1.42608             1.42536          2.1658e-05
                 224             1.42609             1.42536         2.18088e-05
                 225              1.4261             1.42537           2.196e-05
                 226             1.42611             1.42537         2.21116e-05
                 227             1.42612             1.42537         2.22637e-05
                 228             1.42614             1.42538         2.24161e-05
                 229             1.42615             1.42538          2.2569e-05
                 230             1.42616             1.42538         2.27223e-05
                 231             1.42617             1.42539          2.2876e-05
                 232             1.42618             1.42539         2.30301e-05
                 233             1.42619             1.42539         2.31847e-05
                 234              1.4262              1.4254         2.33396e-05
                 235             1.42621              1.4254          2.3495e-05
                 236             1.42622              1.4254         2.36508e-05
                 237             1.42623             1.42541         2.38071e-05
                 238             1.42624             1.42541         2.39637e-05
                 239             1.42625             1.42541         2.41208e-05
                 240             1.42626             1.42542         2.42783e-05
                 241             1.42627             1.42542         2.44363e-05
                 242             1.42628             1.42542         2.45947e-05
                 243              1.4263             1.42543         2.47535e-05
                 244             1.42631             1.42543         2.49127e-05
                 245             1.42632             1.42543         2.50724e-05
                 246             1.42633             1.42544         2.52325e-05
                 247             1.42634             1.42544          2.5393e-05
                 248             1.42635             1.42545         2.55539e-05
                 249             1.42636             1.42545         2.57153e-05
                 250             1.42637             1.42545         2.58771e-05
                 251             1.42639             1.42546         2.60393e-05
                 252              1.4264             1.42546          2.6202e-05
                 253             1.42641             1.42546         2.63651e-05
                 254             1.42642             1.42547         2.65286e-05
                 255             1.42643             1.42547         2.66926e-05
                 256             1.42644             1.42548          2.6857e-05
                 257             1.42646             1.42548         2.70218e-05
                 258             1.42647             1.42548          2.7187e-05
                 259             1.42648             1.42549         2.73526e-05
                 260             1.42649             1.42549         2.75187e-05
                 261              1.4265             1.42549         2.76852e-05
                 262             1.42652              1.4255         2.78522e-05
                 263             1.42653              1.4255         2.80195e-05
                 264             1.42654             1.42551         2.81873e-05
                 265             1.42655             1.42551         2.83555e-05
                 266             1.42656             1.42551         2.85241e-05
                 267             1.42658             1.42552         2.86932e-05
                 268             1.42659             1.42552         2.88627e-05
                 269              1.4266             1.42553         2.90326e-05
                 270             1.42661             1.42553         2.92029e-05
                 271             1.42663             1.42553         2.93737e-05
                 272             1.42664             1.42554         2.95449e-05
                 273             1.42665             1.42554         2.97165e-05
                 274             1.42666             1.42555         2.98885e-05
                 275             1.42668             1.42555          3.0061e-05
                 276             1.42669             1.42555         3.02339e-05
                 277              1.4267             1.42556         3.04072e-05
                 278             1.42672             1.42556          3.0581e-05
                 279             1.42673             1.42557         3.07551e-05
                 280             1.42674             1.42557         3.09297e-05
                 281             1.42675             1.42558         3.11047e-05
                 282             1.42677             1.42558         3.12802e-05
                 283             1.42678             1.42558          3.1456e-05
                 284             1.42679             1.42559         3.16323e-05
                 285             1.42681             1.42559         3.18091e-05
                 286             1.42682              1.4256         3.19862e-05
                 287             1.42683              1.4256         3.21638e-05
                 288             1.42685             1.42561         3.23418e-05
                 289             1.42686             1.42561         3.25202e-05
                 290             1.42687             1.42561         3.26991e-05
                 291             1.42689             1.42562         3.28784e-05
                 292              1.4269             1.42562         3.30581e-05
                 293             1.42692             1.42563         3.32382e-05
                 294             1.42693             1.42563         3.34188e-05
                 295             1.42694             1.42564         3.35997e-05
                 296             1.42696             1.42564         3.37811e-05
                 297             1.42697             1.42565          3.3963e-05
                 298             1.42699             1.42565         3.41452e-05
                 299               1.427             1.42565         3.43279e-05
                 300             1.42701             1.42566          3.4511e-05
                 301             1.42703             1.42566         3.46945e-05
                 302             1.42704             1.42567         3.48784e-05
                 303             1.42706             1.42567         3.50628e-05
                 304             1.42707             1.42568         3.52475e-05
                 305             1.42708             1.42568         3.54327e-05
                 306              1.4271             1.42569         3.56183e-05
                 307             1.42711             1.42569         3.58044e-05
                 308             1.42713              1.4257         3.59909e-05
                 309             1.42714              1.4257         3.61777e-05
                 310             1.42716             1.42571          3.6365e-05
                 311             1.42717             1.42571         3.65528e-05
                 312             1.42719             1.42571         3.67409e-05
                 313              1.4272             1.42572         3.69295e-05
                 314             1.42722             1.42572         3.71185e-05
                 315             1.42723             1.42573          3.7308e-05
                 316             1.42725             1.42573         3.74978e-05
                 317             1.42726             1.42574         3.76881e-05
                 318             1.42728             1.42574         3.78789e-05
                 319             1.42729             1.42575           3.807e-05
                 320             1.42731             1.42575         3.82616e-05
                 321             1.42732             1.42576         3.84536e-05
                 322             1.42734             1.42576         3.86461e-05
                 323             1.42735             1.42577          3.8839e-05
                 324             1.42737             1.42577         3.90323e-05
                 325             1.42738             1.42578          3.9226e-05
                 326              1.4274             1.42578         3.94202e-05
                 327             1.42742             1.42579         3.96148e-05
                 328             1.42743             1.42579         3.98098e-05
                 329             1.42745              1.4258         4.00053e-05
                 330             1.42746              1.4258         4.02011e-05
                 331             1.42748             1.42581         4.03975e-05
                 332              1.4275             1.42581         4.05942e-05
                 333             1.42751             1.42582         4.07914e-05
                 334             1.42753             1.42582          4.0989e-05
                 335             1.42754             1.42583          4.1187e-05
                 336             1.42756             1.42583         4.13855e-05
                 337             1.42758             1.42584         4.15844e-05
                 338             1.42759             1.42584         4.17837e-05
                 339             1.42761             1.42585         4.19835e-05
                 340             1.42763             1.42585         4.21837e-05
                 341             1.42764             1.42586         4.23843e-05
                 342             1.42766             1.42586         4.25854e-05
                 343             1.42767             1.42587         4.27869e-05
                 344             1.42769             1.42588         4.29888e-05
                 345             1.42771             1.42588         4.31912e-05
                 346             1.42772             1.42589          4.3394e-05
                 347             1.42774             1.42589         4.35972e-05
                 348             1.42776              1.4259         4.38008e-05
                 349             1.42778              1.4259         4.40049e-05
                 350             1.42779             1.42591         4.42095e-05
                 351             1.42781             1.42591         4.44144e-05
                 352             1.42783             1.42592         4.46198e-05
                 353             1.42784             1.42592         4.48257e-05
                 354             1.42786             1.42593         4.50319e-05
                 355             1.42788             1.42593         4.52386e-05
                 356              1.4279             1.42594         4.54458e-05
                 357             1.42791             1.42595         4.56534e-05
                 358             1.42793             1.42595         4.58614e-05
                 359             1.42795             1.42596         4.60699e-05
                 360             1.42797             1.42596         4.62788e-05
                 361             1.42798             1.42597         4.64881e-05
                 362               1.428             1.42597         4.66979e-05
                 363             1.42802             1.42598         4.69081e-05
                 364             1.42804             1.42599         4.71188e-05
                 365             1.42806             1.42599         4.73299e-05
                 366             1.42807               1.426         4.75414e-05
                 367             1.42809               1.426         4.77534e-05
                 368             1.42811             1.42601         4.79659e-05
                 369             1.42813             1.42601         4.81788e-05
                 370             1.42815             1.42602         4.83921e-05
                 371             1.42816             1.42603         4.86059e-05
                 372             1.42818             1.42603         4.88201e-05
                 373              1.4282             1.42604         4.90348e-05
                 374             1.42822             1.42604         4.92499e-05
                 375             1.42824             1.42605         4.94655e-05
                 376             1.42826             1.42605         4.96815e-05
                 377             1.42828             1.42606          4.9898e-05
                 378             1.42829             1.42607         5.01149e-05
                 379             1.42831             1.42607         5.03322e-05
                 380             1.42833             1.42608         5.05501e-05
                 381             1.42835             1.42608         5.07683e-05
                 382             1.42837             1.42609          5.0987e-05
                 383             1.42839              1.4261         5.12062e-05
                 384             1.42841              1.4261         5.14258e-05
                 385             1.42843             1.42611         5.16459e-05
                 386             1.42845             1.42611         5.18664e-05
                 387             1.42847             1.42612         5.20873e-05
                 388             1.42849             1.42613         5.23088e-05
                 389             1.42851             1.42613         5.25306e-05
                 390             1.42852             1.42614          5.2753e-05
                 391             1.42854             1.42614         5.29758e-05
                 392             1.42856             1.42615          5.3199e-05
                 393             1.42858             1.42616         5.34227e-05
                 394              1.4286             1.42616         5.36469e-05
                 395             1.42862             1.42617         5.38715e-05
                 396             1.42864             1.42618         5.40966e-05
                 397             1.42866             1.42618         5.43221e-05
                 398             1.42868             1.42619         5.45481e-05
                 399              1.4287             1.42619         5.47746e-05
                 400             1.42872              1.4262         5.50015e-05
                 401             1.42874             1.42621         5.52289e-05
                 402             1.42876             1.42621         5.54568e-05
                 403             1.42879             1.42622         5.56851e-05
                 404             1.42881             1.42623         5.59138e-05
                 405             1.42883             1.42623         5.61431e-05
                 406             1.42885             1.42624         5.63728e-05
                 407             1.42887             1.42625         5.66029e-05
                 408             1.42889             1.42625         5.68336e-05
                 409             1.42891             1.42626         5.70647e-05
                 410             1.42893             1.42627         5.72962e-05
                 411             1.42895             1.42627         5.75282e-05
                 412             1.42897             1.42628         5.77607e-05
                 413             1.42899             1.42628         5.79937e-05
                 414             1.42901             1.42629         5.82271e-05
                 415             1.42904              1.4263          5.8461e-05
                 416             1.42906              1.4263         5.86954e-05
                 417             1.42908             1.42631         5.89302e-05
                 418              1.4291             1.42632         5.91655e-05
                 419             1.42912             1.42632         5.94013e-05
                 420             1.42914             1.42633         5.96375e-05
                 421             1.42916             1.42634         5.98742e-05
                 422             1.42919             1.42634         6.01114e-05
                 423             1.42921             1.42635         6.03491e-05
                 424             1.42923             1.42636         6.05872e-05
                 425             1.42925             1.42637         6.08258e-05
                 426             1.42927             1.42637         6.10649e-05
                 427              1.4293             1.42638         6.13045e-05
                 428             1.42932             1.42639         6.15445e-05
                 429             1.42934             1.42639          6.1785e-05
                 430             1.42936              1.4264          6.2026e-05
                 431             1.42938             1.42641         6.22675e-05
                 432             1.42941             1.42641         6.25095e-05
                 433             1.42943             1.42642         6.27519e-05
                 434             1.42945             1.42643         6.29949e-05
                 435             1.42947             1.42643         6.32383e-05
                 436              1.4295             1.42644         6.34822e-05
                 437             1.42952             1.42645         6.37266e-05
                 438             1.42954             1.42646         6.39715e-05
                 439             1.42957             1.42646         6.42168e-05
                 440             1.42959             1.42647         6.44627e-05
                 441             1.42961             1.42648          6.4709e-05
                 442             1.42963             1.42648         6.49558e-05
                 443             1.42966             1.42649         6.52032e-05
                 444             1.42968              1.4265          6.5451e-05
                 445              1.4297             1.42651         6.56993e-05
                 446             1.42973             1.42651         6.59481e-05
                 447             1.42975             1.42652         6.61974e-05
                 448             1.42978             1.42653         6.64472e-05
                 449              1.4298             1.42653         6.66975e-05
                 450             1.42982             1.42654         6.69483e-05
                 451             1.42985             1.42655         6.71996e-05
                 452             1.42987             1.42656         6.74514e-05
                 453             1.42989             1.42656         6.77036e-05
                 454             1.42992             1.42657         6.79564e-05
                 455             1.42994             1.42658         6.82097e-05
                 456             1.42997             1.42659         6.84635e-05
                 457             1.42999             1.42659         6.87178e-05
                 458             1.43001              1.4266         6.89726e-05
                 459             1.43004             1.42661         6.92279e-05
                 460             1.43006             1.42662         6.94837e-05
                 461             1.43009             1.42662         6.97401e-05
                 462             1.43011             1.42663         6.99969e-05
                 463             1.43014             1.42664         7.02542e-05
                 464             1.43016             1.42665         7.05121e-05
                 465             1.43019             1.42665         7.07704e-05
                 466             1.43021             1.42666         7.10293e-05
                 467             1.43024             1.42667         7.12887e-05
                 468             1.43026             1.42668         7.15486e-05
                 469             1.43029             1.42668          7.1809e-05
                 470             1.43031             1.42669         7.20699e-05
                 471             1.43034              1.4267         7.23313e-05
                 472             1.43036             1.42671         7.25933e-05
                 473             1.43039             1.42672         7.28557e-05
                 474             1.43041             1.42672         7.31187e-05
                 475             1.43044             1.42673         7.33822e-05
                 476             1.43047             1.42674         7.36462e-05
                 477             1.43049             1.42675         7.39108e-05
                 478             1.43052             1.42675         7.41759e-05
                 479             1.43054             1.42676         7.44415e-05
                 480             1.43057             1.42677         7.47076e-05
                 481              1.4306             1.42678         7.49742e-05
                 482             1.43062             1.42679         7.52414e-05
                 483             1.43065             1.42679         7.55091e-05
                 484             1.43067              1.4268         7.57774e-05
                 485              1.4307             1.42681         7.60461e-05
                 486             1.43073             1.42682         7.63154e-05
                 487             1.43075             1.42683         7.65853e-05
                 488             1.43078             1.42683         7.68556e-05
                 489             1.43081             1.42684         7.71266e-05
                 490             1.43083             1.42685          7.7398e-05
                 491             1.43086             1.42686           7.767e-05
                 492             1.43089             1.42687         7.79425e-05
                 493             1.43091             1.42688         7.82156e-05
                 494             1.43094             1.42688         7.84892e-05
                 495             1.43097             1.42689         7.87634e-05
                 496               1.431              1.4269         7.90381e-05
                 497             1.43102             1.42691         7.93133e-05
                 498             1.43105             1.42692         7.95891e-05
                 499             1.43108             1.42693         7.98654e-05
                 500             1.43111             1.42693         8.01423e-05
                 501             1.43113             1.42694         8.04197e-05
                 502             1.43116             1.42695         8.06977e-05
                 503             1.43119             1.42696         8.09762e-05
                 504             1.43122             1.42697         8.12553e-05
                 505             1.43125             1.42698          8.1535e-05
                 506             1.43127             1.42698         8.18151e-05
                 507              1.4313             1.42699         8.20959e-05
                 508             1.43133               1.427         8.23772e-05
                 509             1.43136             1.42701          8.2659e-05
                 510             1.43139             1.42702         8.29414e-05
                 511             1.43142             1.42703         8.32244e-05
                 512             1.43144             1.42704         8.35079e-05
                 513             1.43147             1.42704          8.3792e-05
                 514              1.4315             1.42705         8.40766e-05
                 515             1.43153             1.42706         8.43618e-05
                 516             1.43156             1.42707         8.46476e-05
                 517             1.43159             1.42708         8.49339e-05
                 518             1.43162             1.42709         8.52208e-05
                 519             1.43165              1.4271         8.55083e-05
                 520             1.43168             1.42711         8.57963e-05
                 521             1.43171             1.42711         8.60849e-05
                 522             1.43174             1.42712         8.63741e-05
                 523             1.43177             1.42713         8.66639e-05
                 524              1.4318             1.42714         8.69542e-05
                 525             1.43183             1.42715         8.72451e-05
                 526             1.43186             1.42716         8.75365e-05
                 527             1.43189             1.42717         8.78286e-05
                 528             1.43192             1.42718         8.81212e-05
                 529             1.43195             1.42719         8.84144e-05
                 530             1.43198              1.4272         8.87082e-05
                 531             1.43201              1.4272         8.90026e-05
                 532             1.43204             1.42721         8.92975e-05
                 533             1.43207             1.42722         8.95931e-05
                 534              1.4321             1.42723         8.98892e-05
                 535             1.43213             1.42724         9.01859e-05
                 536             1.43216             1.42725         9.04832e-05
                 537             1.43219             1.42726          9.0781e-05
                 538             1.43222             1.42727         9.10795e-05
                 539             1.43225             1.42728         9.13785e-05
                 540             1.43228             1.42729         9.16782e-05
                 541             1.43231              1.4273         9.19784e-05
                 542             1.43234             1.42731         9.22793e-05
                 543             1.43238             1.42731         9.25807e-05
                 544             1.43241             1.42732         9.28827e-05
                 545             1.43244             1.42733         9.31853e-05
                 546             1.43247             1.42734         9.34885e-05
                 547              1.4325             1.42735         9.37924e-05
                 548             1.43253             1.42736         9.40968e-05
                 549             1.43257             1.42737         9.44018e-05
                 550              1.4326             1.42738         9.47074e-05
                 551             1.43263             1.42739         9.50136e-05
                 552             1.43266              1.4274         9.53205e-05
                 553              1.4327             1.42741         9.56279e-05
                 554             1.43273             1.42742          9.5936e-05
                 555             1.43276             1.42743         9.62446e-05
                 556             1.43279             1.42744         9.65539e-05
